,,,,,,,,Time,ToF,Prox,Pitch,Roll,Yaw
"(57957035, 407, 6, -0.436318576335907, 2.779712438583374, 143.1703338623047)","57957035, 407, 6, -0.436318576335907, 2.779712438583374, 143.1703338623047)"," 407, 6, -0.436318576335907, 2.779712438583374, 143.1703338623047)"," 6, -0.436318576335907, 2.779712438583374, 143.1703338623047)"," -0.436318576335907, 2.779712438583374, 143.1703338623047)"," 2.779712438583374, 143.1703338623047)", 143.1703338623047),,57957035, 407, 6, -0.436318576335907, 2.779712438583374, 143.1703338623047
"(58038429, 401, 6, -0.3375231921672821, 2.744907855987549, 143.09329223632812)","58038429, 401, 6, -0.3375231921672821, 2.744907855987549, 143.09329223632812)"," 401, 6, -0.3375231921672821, 2.744907855987549, 143.09329223632812)"," 6, -0.3375231921672821, 2.744907855987549, 143.09329223632812)"," -0.3375231921672821, 2.744907855987549, 143.09329223632812)"," 2.744907855987549, 143.09329223632812)", 143.09329223632812),,58038429, 401, 6, -0.3375231921672821, 2.744907855987549, 143.09329223632812
"(58119823, 398, 7, -0.2681896388530731, 2.7446212768554688, 142.86776733398438)","58119823, 398, 7, -0.2681896388530731, 2.7446212768554688, 142.86776733398438)"," 398, 7, -0.2681896388530731, 2.7446212768554688, 142.86776733398438)"," 7, -0.2681896388530731, 2.7446212768554688, 142.86776733398438)"," -0.2681896388530731, 2.7446212768554688, 142.86776733398438)"," 2.7446212768554688, 142.86776733398438)", 142.86776733398438),,58119823, 398, 7, -0.2681896388530731, 2.7446212768554688, 142.86776733398438
"(58201204, 382, 6, -0.10148969292640686, 2.8134806156158447, 142.2266845703125)","58201204, 382, 6, -0.10148969292640686, 2.8134806156158447, 142.2266845703125)"," 382, 6, -0.10148969292640686, 2.8134806156158447, 142.2266845703125)"," 6, -0.10148969292640686, 2.8134806156158447, 142.2266845703125)"," -0.10148969292640686, 2.8134806156158447, 142.2266845703125)"," 2.8134806156158447, 142.2266845703125)", 142.2266845703125),,58201204, 382, 6, -0.10148969292640686, 2.8134806156158447, 142.2266845703125
"(58282591, 381, 6, 0.062196675688028336, 2.9518747329711914, 142.4329376220703)","58282591, 381, 6, 0.062196675688028336, 2.9518747329711914, 142.4329376220703)"," 381, 6, 0.062196675688028336, 2.9518747329711914, 142.4329376220703)"," 6, 0.062196675688028336, 2.9518747329711914, 142.4329376220703)"," 0.062196675688028336, 2.9518747329711914, 142.4329376220703)"," 2.9518747329711914, 142.4329376220703)", 142.4329376220703),,58282591, 381, 6, 0.062196675688028336, 2.9518747329711914, 142.4329376220703
"(58363888, 376, 6, 0.13250353932380676, 2.9839282035827637, 142.6104278564453)","58363888, 376, 6, 0.13250353932380676, 2.9839282035827637, 142.6104278564453)"," 376, 6, 0.13250353932380676, 2.9839282035827637, 142.6104278564453)"," 6, 0.13250353932380676, 2.9839282035827637, 142.6104278564453)"," 0.13250353932380676, 2.9839282035827637, 142.6104278564453)"," 2.9839282035827637, 142.6104278564453)", 142.6104278564453),,58363888, 376, 6, 0.13250353932380676, 2.9839282035827637, 142.6104278564453
"(58445200, 378, 7, 0.1510923057794571, 3.0255863666534424, 142.63401794433594)","58445200, 378, 7, 0.1510923057794571, 3.0255863666534424, 142.63401794433594)"," 378, 7, 0.1510923057794571, 3.0255863666534424, 142.63401794433594)"," 7, 0.1510923057794571, 3.0255863666534424, 142.63401794433594)"," 0.1510923057794571, 3.0255863666534424, 142.63401794433594)"," 3.0255863666534424, 142.63401794433594)", 142.63401794433594),,58445200, 378, 7, 0.1510923057794571, 3.0255863666534424, 142.63401794433594
"(58526503, 373, 6, 0.10251518338918686, 2.979340076446533, 142.63587951660156)","58526503, 373, 6, 0.10251518338918686, 2.979340076446533, 142.63587951660156)"," 373, 6, 0.10251518338918686, 2.979340076446533, 142.63587951660156)"," 6, 0.10251518338918686, 2.979340076446533, 142.63587951660156)"," 0.10251518338918686, 2.979340076446533, 142.63587951660156)"," 2.979340076446533, 142.63587951660156)", 142.63587951660156),,58526503, 373, 6, 0.10251518338918686, 2.979340076446533, 142.63587951660156
"(58607803, 376, 6, 0.0574272982776165, 2.9332923889160156, 142.62098693847656)","58607803, 376, 6, 0.0574272982776165, 2.9332923889160156, 142.62098693847656)"," 376, 6, 0.0574272982776165, 2.9332923889160156, 142.62098693847656)"," 6, 0.0574272982776165, 2.9332923889160156, 142.62098693847656)"," 0.0574272982776165, 2.9332923889160156, 142.62098693847656)"," 2.9332923889160156, 142.62098693847656)", 142.62098693847656),,58607803, 376, 6, 0.0574272982776165, 2.9332923889160156, 142.62098693847656
"(58689106, 374, 7, 0.04806739091873169, 2.889857769012451, 142.76683044433594)","58689106, 374, 7, 0.04806739091873169, 2.889857769012451, 142.76683044433594)"," 374, 7, 0.04806739091873169, 2.889857769012451, 142.76683044433594)"," 7, 0.04806739091873169, 2.889857769012451, 142.76683044433594)"," 0.04806739091873169, 2.889857769012451, 142.76683044433594)"," 2.889857769012451, 142.76683044433594)", 142.76683044433594),,58689106, 374, 7, 0.04806739091873169, 2.889857769012451, 142.76683044433594
"(58770409, 375, 6, 0.07311248034238815, 2.8588619232177734, 142.92880249023438)","58770409, 375, 6, 0.07311248034238815, 2.8588619232177734, 142.92880249023438)"," 375, 6, 0.07311248034238815, 2.8588619232177734, 142.92880249023438)"," 6, 0.07311248034238815, 2.8588619232177734, 142.92880249023438)"," 0.07311248034238815, 2.8588619232177734, 142.92880249023438)"," 2.8588619232177734, 142.92880249023438)", 142.92880249023438),,58770409, 375, 6, 0.07311248034238815, 2.8588619232177734, 142.92880249023438
"(58851719, 373, 7, 0.09911781549453735, 2.9173099994659424, 143.06781005859375)","58851719, 373, 7, 0.09911781549453735, 2.9173099994659424, 143.06781005859375)"," 373, 7, 0.09911781549453735, 2.9173099994659424, 143.06781005859375)"," 7, 0.09911781549453735, 2.9173099994659424, 143.06781005859375)"," 0.09911781549453735, 2.9173099994659424, 143.06781005859375)"," 2.9173099994659424, 143.06781005859375)", 143.06781005859375),,58851719, 373, 7, 0.09911781549453735, 2.9173099994659424, 143.06781005859375
"(58933028, 377, 7, 0.11568359285593033, 2.907449722290039, 143.25025939941406)","58933028, 377, 7, 0.11568359285593033, 2.907449722290039, 143.25025939941406)"," 377, 7, 0.11568359285593033, 2.907449722290039, 143.25025939941406)"," 7, 0.11568359285593033, 2.907449722290039, 143.25025939941406)"," 0.11568359285593033, 2.907449722290039, 143.25025939941406)"," 2.907449722290039, 143.25025939941406)", 143.25025939941406),,58933028, 377, 7, 0.11568359285593033, 2.907449722290039, 143.25025939941406
"(59021187, 375, 7, -0.06606636941432953, 2.9111857414245605, 143.46221923828125)","59021187, 375, 7, -0.06606636941432953, 2.9111857414245605, 143.46221923828125)"," 375, 7, -0.06606636941432953, 2.9111857414245605, 143.46221923828125)"," 7, -0.06606636941432953, 2.9111857414245605, 143.46221923828125)"," -0.06606636941432953, 2.9111857414245605, 143.46221923828125)"," 2.9111857414245605, 143.46221923828125)", 143.46221923828125),,59021187, 375, 7, -0.06606636941432953, 2.9111857414245605, 143.46221923828125
"(59102585, 376, 6, -0.014747771434485912, 2.8195509910583496, 143.35784912109375)","59102585, 376, 6, -0.014747771434485912, 2.8195509910583496, 143.35784912109375)"," 376, 6, -0.014747771434485912, 2.8195509910583496, 143.35784912109375)"," 6, -0.014747771434485912, 2.8195509910583496, 143.35784912109375)"," -0.014747771434485912, 2.8195509910583496, 143.35784912109375)"," 2.8195509910583496, 143.35784912109375)", 143.35784912109375),,59102585, 376, 6, -0.014747771434485912, 2.8195509910583496, 143.35784912109375
"(59183966, 377, 7, 0.003144087502732873, 2.7793092727661133, 143.528076171875)","59183966, 377, 7, 0.003144087502732873, 2.7793092727661133, 143.528076171875)"," 377, 7, 0.003144087502732873, 2.7793092727661133, 143.528076171875)"," 7, 0.003144087502732873, 2.7793092727661133, 143.528076171875)"," 0.003144087502732873, 2.7793092727661133, 143.528076171875)"," 2.7793092727661133, 143.528076171875)", 143.528076171875),,59183966, 377, 7, 0.003144087502732873, 2.7793092727661133, 143.528076171875
"(59265272, 374, 6, 0.022170914337038994, 2.654381513595581, 143.77879333496094)","59265272, 374, 6, 0.022170914337038994, 2.654381513595581, 143.77879333496094)"," 374, 6, 0.022170914337038994, 2.654381513595581, 143.77879333496094)"," 6, 0.022170914337038994, 2.654381513595581, 143.77879333496094)"," 0.022170914337038994, 2.654381513595581, 143.77879333496094)"," 2.654381513595581, 143.77879333496094)", 143.77879333496094),,59265272, 374, 6, 0.022170914337038994, 2.654381513595581, 143.77879333496094
"(59346508, 375, 7, 0.07791992276906967, 2.5787181854248047, 143.85015869140625)","59346508, 375, 7, 0.07791992276906967, 2.5787181854248047, 143.85015869140625)"," 375, 7, 0.07791992276906967, 2.5787181854248047, 143.85015869140625)"," 7, 0.07791992276906967, 2.5787181854248047, 143.85015869140625)"," 0.07791992276906967, 2.5787181854248047, 143.85015869140625)"," 2.5787181854248047, 143.85015869140625)", 143.85015869140625),,59346508, 375, 7, 0.07791992276906967, 2.5787181854248047, 143.85015869140625
"(59427872, 374, 6, 0.09040390700101852, 2.563605308532715, 144.01895141601562)","59427872, 374, 6, 0.09040390700101852, 2.563605308532715, 144.01895141601562)"," 374, 6, 0.09040390700101852, 2.563605308532715, 144.01895141601562)"," 6, 0.09040390700101852, 2.563605308532715, 144.01895141601562)"," 0.09040390700101852, 2.563605308532715, 144.01895141601562)"," 2.563605308532715, 144.01895141601562)", 144.01895141601562),,59427872, 374, 6, 0.09040390700101852, 2.563605308532715, 144.01895141601562
"(59509185, 374, 6, 0.08281689882278442, 2.5194427967071533, 144.24734497070312)","59509185, 374, 6, 0.08281689882278442, 2.5194427967071533, 144.24734497070312)"," 374, 6, 0.08281689882278442, 2.5194427967071533, 144.24734497070312)"," 6, 0.08281689882278442, 2.5194427967071533, 144.24734497070312)"," 0.08281689882278442, 2.5194427967071533, 144.24734497070312)"," 2.5194427967071533, 144.24734497070312)", 144.24734497070312),,59509185, 374, 6, 0.08281689882278442, 2.5194427967071533, 144.24734497070312
"(59590488, 374, 6, 0.08999873697757721, 2.469679594039917, 144.17039489746094)","59590488, 374, 6, 0.08999873697757721, 2.469679594039917, 144.17039489746094)"," 374, 6, 0.08999873697757721, 2.469679594039917, 144.17039489746094)"," 6, 0.08999873697757721, 2.469679594039917, 144.17039489746094)"," 0.08999873697757721, 2.469679594039917, 144.17039489746094)"," 2.469679594039917, 144.17039489746094)", 144.17039489746094),,59590488, 374, 6, 0.08999873697757721, 2.469679594039917, 144.17039489746094
"(59671791, 373, 6, 0.07871323823928833, 2.518465995788574, 144.0872344970703)","59671791, 373, 6, 0.07871323823928833, 2.518465995788574, 144.0872344970703)"," 373, 6, 0.07871323823928833, 2.518465995788574, 144.0872344970703)"," 6, 0.07871323823928833, 2.518465995788574, 144.0872344970703)"," 0.07871323823928833, 2.518465995788574, 144.0872344970703)"," 2.518465995788574, 144.0872344970703)", 144.0872344970703),,59671791, 373, 6, 0.07871323823928833, 2.518465995788574, 144.0872344970703
"(59753098, 375, 7, 0.05308443307876587, 2.576995611190796, 144.1294403076172)","59753098, 375, 7, 0.05308443307876587, 2.576995611190796, 144.1294403076172)"," 375, 7, 0.05308443307876587, 2.576995611190796, 144.1294403076172)"," 7, 0.05308443307876587, 2.576995611190796, 144.1294403076172)"," 0.05308443307876587, 2.576995611190796, 144.1294403076172)"," 2.576995611190796, 144.1294403076172)", 144.1294403076172),,59753098, 375, 7, 0.05308443307876587, 2.576995611190796, 144.1294403076172
"(59834402, 375, 7, 0.011032999493181705, 2.61574387550354, 144.29078674316406)","59834402, 375, 7, 0.011032999493181705, 2.61574387550354, 144.29078674316406)"," 375, 7, 0.011032999493181705, 2.61574387550354, 144.29078674316406)"," 7, 0.011032999493181705, 2.61574387550354, 144.29078674316406)"," 0.011032999493181705, 2.61574387550354, 144.29078674316406)"," 2.61574387550354, 144.29078674316406)", 144.29078674316406),,59834402, 375, 7, 0.011032999493181705, 2.61574387550354, 144.29078674316406
"(59915724, 375, 7, -0.008130799047648907, 2.6160240173339844, 144.3931884765625)","59915724, 375, 7, -0.008130799047648907, 2.6160240173339844, 144.3931884765625)"," 375, 7, -0.008130799047648907, 2.6160240173339844, 144.3931884765625)"," 7, -0.008130799047648907, 2.6160240173339844, 144.3931884765625)"," -0.008130799047648907, 2.6160240173339844, 144.3931884765625)"," 2.6160240173339844, 144.3931884765625)", 144.3931884765625),,59915724, 375, 7, -0.008130799047648907, 2.6160240173339844, 144.3931884765625
"(59997111, 374, 6, -0.0067556481808424, 2.627169370651245, 144.61248779296875)","59997111, 374, 6, -0.0067556481808424, 2.627169370651245, 144.61248779296875)"," 374, 6, -0.0067556481808424, 2.627169370651245, 144.61248779296875)"," 6, -0.0067556481808424, 2.627169370651245, 144.61248779296875)"," -0.0067556481808424, 2.627169370651245, 144.61248779296875)"," 2.627169370651245, 144.61248779296875)", 144.61248779296875),,59997111, 374, 6, -0.0067556481808424, 2.627169370651245, 144.61248779296875
"(60078443, 378, 6, -0.0360831581056118, 2.5911877155303955, 144.68392944335938)","60078443, 378, 6, -0.0360831581056118, 2.5911877155303955, 144.68392944335938)"," 378, 6, -0.0360831581056118, 2.5911877155303955, 144.68392944335938)"," 6, -0.0360831581056118, 2.5911877155303955, 144.68392944335938)"," -0.0360831581056118, 2.5911877155303955, 144.68392944335938)"," 2.5911877155303955, 144.68392944335938)", 144.68392944335938),,60078443, 378, 6, -0.0360831581056118, 2.5911877155303955, 144.68392944335938
"(60159897, 374, 6, -0.05551379546523094, 2.5483810901641846, 144.69386291503906)","60159897, 374, 6, -0.05551379546523094, 2.5483810901641846, 144.69386291503906)"," 374, 6, -0.05551379546523094, 2.5483810901641846, 144.69386291503906)"," 6, -0.05551379546523094, 2.5483810901641846, 144.69386291503906)"," -0.05551379546523094, 2.5483810901641846, 144.69386291503906)"," 2.5483810901641846, 144.69386291503906)", 144.69386291503906),,60159897, 374, 6, -0.05551379546523094, 2.5483810901641846, 144.69386291503906
"(60241290, 375, 6, -0.11702597886323929, 2.5681145191192627, 144.7665557861328)","60241290, 375, 6, -0.11702597886323929, 2.5681145191192627, 144.7665557861328)"," 375, 6, -0.11702597886323929, 2.5681145191192627, 144.7665557861328)"," 6, -0.11702597886323929, 2.5681145191192627, 144.7665557861328)"," -0.11702597886323929, 2.5681145191192627, 144.7665557861328)"," 2.5681145191192627, 144.7665557861328)", 144.7665557861328),,60241290, 375, 6, -0.11702597886323929, 2.5681145191192627, 144.7665557861328
"(60322618, 371, 6, -0.11506646871566772, 2.575655698776245, 144.6646728515625)","60322618, 371, 6, -0.11506646871566772, 2.575655698776245, 144.6646728515625)"," 371, 6, -0.11506646871566772, 2.575655698776245, 144.6646728515625)"," 6, -0.11506646871566772, 2.575655698776245, 144.6646728515625)"," -0.11506646871566772, 2.575655698776245, 144.6646728515625)"," 2.575655698776245, 144.6646728515625)", 144.6646728515625),,60322618, 371, 6, -0.11506646871566772, 2.575655698776245, 144.6646728515625
"(60404070, 373, 7, -0.09252322465181351, 2.604339838027954, 144.678955078125)","60404070, 373, 7, -0.09252322465181351, 2.604339838027954, 144.678955078125)"," 373, 7, -0.09252322465181351, 2.604339838027954, 144.678955078125)"," 7, -0.09252322465181351, 2.604339838027954, 144.678955078125)"," -0.09252322465181351, 2.604339838027954, 144.678955078125)"," 2.604339838027954, 144.678955078125)", 144.678955078125),,60404070, 373, 7, -0.09252322465181351, 2.604339838027954, 144.678955078125
"(60485461, 373, 6, -0.052325569093227386, 2.671731948852539, 144.77835083007812)","60485461, 373, 6, -0.052325569093227386, 2.671731948852539, 144.77835083007812)"," 373, 6, -0.052325569093227386, 2.671731948852539, 144.77835083007812)"," 6, -0.052325569093227386, 2.671731948852539, 144.77835083007812)"," -0.052325569093227386, 2.671731948852539, 144.77835083007812)"," 2.671731948852539, 144.77835083007812)", 144.77835083007812),,60485461, 373, 6, -0.052325569093227386, 2.671731948852539, 144.77835083007812
"(60566791, 374, 6, -0.009424267336726189, 2.6849706172943115, 144.96719360351562)","60566791, 374, 6, -0.009424267336726189, 2.6849706172943115, 144.96719360351562)"," 374, 6, -0.009424267336726189, 2.6849706172943115, 144.96719360351562)"," 6, -0.009424267336726189, 2.6849706172943115, 144.96719360351562)"," -0.009424267336726189, 2.6849706172943115, 144.96719360351562)"," 2.6849706172943115, 144.96719360351562)", 144.96719360351562),,60566791, 374, 6, -0.009424267336726189, 2.6849706172943115, 144.96719360351562
"(60648233, 375, 7, 0.004072823096066713, 2.685689926147461, 144.89015197753906)","60648233, 375, 7, 0.004072823096066713, 2.685689926147461, 144.89015197753906)"," 375, 7, 0.004072823096066713, 2.685689926147461, 144.89015197753906)"," 7, 0.004072823096066713, 2.685689926147461, 144.89015197753906)"," 0.004072823096066713, 2.685689926147461, 144.89015197753906)"," 2.685689926147461, 144.89015197753906)", 144.89015197753906),,60648233, 375, 7, 0.004072823096066713, 2.685689926147461, 144.89015197753906
"(60729535, 374, 7, 0.029990138486027718, 2.6899750232696533, 144.99502563476562)","60729535, 374, 7, 0.029990138486027718, 2.6899750232696533, 144.99502563476562)"," 374, 7, 0.029990138486027718, 2.6899750232696533, 144.99502563476562)"," 7, 0.029990138486027718, 2.6899750232696533, 144.99502563476562)"," 0.029990138486027718, 2.6899750232696533, 144.99502563476562)"," 2.6899750232696533, 144.99502563476562)", 144.99502563476562),,60729535, 374, 7, 0.029990138486027718, 2.6899750232696533, 144.99502563476562
"(60810840, 375, 6, 0.015199817717075348, 2.700732707977295, 145.04653930664062)","60810840, 375, 6, 0.015199817717075348, 2.700732707977295, 145.04653930664062)"," 375, 6, 0.015199817717075348, 2.700732707977295, 145.04653930664062)"," 6, 0.015199817717075348, 2.700732707977295, 145.04653930664062)"," 0.015199817717075348, 2.700732707977295, 145.04653930664062)"," 2.700732707977295, 145.04653930664062)", 145.04653930664062),,60810840, 375, 6, 0.015199817717075348, 2.700732707977295, 145.04653930664062
"(60892160, 371, 7, -0.0066581591963768005, 2.6706459522247314, 144.8547821044922)","60892160, 371, 7, -0.0066581591963768005, 2.6706459522247314, 144.8547821044922)"," 371, 7, -0.0066581591963768005, 2.6706459522247314, 144.8547821044922)"," 7, -0.0066581591963768005, 2.6706459522247314, 144.8547821044922)"," -0.0066581591963768005, 2.6706459522247314, 144.8547821044922)"," 2.6706459522247314, 144.8547821044922)", 144.8547821044922),,60892160, 371, 7, -0.0066581591963768005, 2.6706459522247314, 144.8547821044922
"(60980408, 372, 6, -0.21889089047908783, 2.735100030899048, 145.17001342773438)","60980408, 372, 6, -0.21889089047908783, 2.735100030899048, 145.17001342773438)"," 372, 6, -0.21889089047908783, 2.735100030899048, 145.17001342773438)"," 6, -0.21889089047908783, 2.735100030899048, 145.17001342773438)"," -0.21889089047908783, 2.735100030899048, 145.17001342773438)"," 2.735100030899048, 145.17001342773438)", 145.17001342773438),,60980408, 372, 6, -0.21889089047908783, 2.735100030899048, 145.17001342773438
"(61061798, 372, 7, -0.15364868938922882, 2.8184256553649902, 145.1395721435547)","61061798, 372, 7, -0.15364868938922882, 2.8184256553649902, 145.1395721435547)"," 372, 7, -0.15364868938922882, 2.8184256553649902, 145.1395721435547)"," 7, -0.15364868938922882, 2.8184256553649902, 145.1395721435547)"," -0.15364868938922882, 2.8184256553649902, 145.1395721435547)"," 2.8184256553649902, 145.1395721435547)", 145.1395721435547),,61061798, 372, 7, -0.15364868938922882, 2.8184256553649902, 145.1395721435547
"(61143186, 374, 6, -0.11850553750991821, 2.87807297706604, 145.08241271972656)","61143186, 374, 6, -0.11850553750991821, 2.87807297706604, 145.08241271972656)"," 374, 6, -0.11850553750991821, 2.87807297706604, 145.08241271972656)"," 6, -0.11850553750991821, 2.87807297706604, 145.08241271972656)"," -0.11850553750991821, 2.87807297706604, 145.08241271972656)"," 2.87807297706604, 145.08241271972656)", 145.08241271972656),,61143186, 374, 6, -0.11850553750991821, 2.87807297706604, 145.08241271972656
"(61224570, 373, 8, -0.07435022294521332, 2.930856704711914, 145.29425048828125)","61224570, 373, 8, -0.07435022294521332, 2.930856704711914, 145.29425048828125)"," 373, 8, -0.07435022294521332, 2.930856704711914, 145.29425048828125)"," 8, -0.07435022294521332, 2.930856704711914, 145.29425048828125)"," -0.07435022294521332, 2.930856704711914, 145.29425048828125)"," 2.930856704711914, 145.29425048828125)", 145.29425048828125),,61224570, 373, 8, -0.07435022294521332, 2.930856704711914, 145.29425048828125
"(61305959, 372, 7, 0.014675082638859749, 2.9776997566223145, 145.2116241455078)","61305959, 372, 7, 0.014675082638859749, 2.9776997566223145, 145.2116241455078)"," 372, 7, 0.014675082638859749, 2.9776997566223145, 145.2116241455078)"," 7, 0.014675082638859749, 2.9776997566223145, 145.2116241455078)"," 0.014675082638859749, 2.9776997566223145, 145.2116241455078)"," 2.9776997566223145, 145.2116241455078)", 145.2116241455078),,61305959, 372, 7, 0.014675082638859749, 2.9776997566223145, 145.2116241455078
"(61387264, 377, 6, 0.06765379011631012, 2.9525067806243896, 145.26686096191406)","61387264, 377, 6, 0.06765379011631012, 2.9525067806243896, 145.26686096191406)"," 377, 6, 0.06765379011631012, 2.9525067806243896, 145.26686096191406)"," 6, 0.06765379011631012, 2.9525067806243896, 145.26686096191406)"," 0.06765379011631012, 2.9525067806243896, 145.26686096191406)"," 2.9525067806243896, 145.26686096191406)", 145.26686096191406),,61387264, 377, 6, 0.06765379011631012, 2.9525067806243896, 145.26686096191406
"(61468568, 374, 6, 0.06756135076284409, 2.8720364570617676, 145.265625)","61468568, 374, 6, 0.06756135076284409, 2.8720364570617676, 145.265625)"," 374, 6, 0.06756135076284409, 2.8720364570617676, 145.265625)"," 6, 0.06756135076284409, 2.8720364570617676, 145.265625)"," 0.06756135076284409, 2.8720364570617676, 145.265625)"," 2.8720364570617676, 145.265625)", 145.265625),,61468568, 374, 6, 0.06756135076284409, 2.8720364570617676, 145.265625
"(61549872, 374, 6, 0.09330867230892181, 2.76912784576416, 145.73602294921875)","61549872, 374, 6, 0.09330867230892181, 2.76912784576416, 145.73602294921875)"," 374, 6, 0.09330867230892181, 2.76912784576416, 145.73602294921875)"," 6, 0.09330867230892181, 2.76912784576416, 145.73602294921875)"," 0.09330867230892181, 2.76912784576416, 145.73602294921875)"," 2.76912784576416, 145.73602294921875)", 145.73602294921875),,61549872, 374, 6, 0.09330867230892181, 2.76912784576416, 145.73602294921875
"(61631179, 376, 7, 0.1818004697561264, 2.649538040161133, 145.66775512695312)","61631179, 376, 7, 0.1818004697561264, 2.649538040161133, 145.66775512695312)"," 376, 7, 0.1818004697561264, 2.649538040161133, 145.66775512695312)"," 7, 0.1818004697561264, 2.649538040161133, 145.66775512695312)"," 0.1818004697561264, 2.649538040161133, 145.66775512695312)"," 2.649538040161133, 145.66775512695312)", 145.66775512695312),,61631179, 376, 7, 0.1818004697561264, 2.649538040161133, 145.66775512695312
"(61712477, 373, 7, 0.22655734419822693, 2.680375099182129, 145.59017944335938)","61712477, 373, 7, 0.22655734419822693, 2.680375099182129, 145.59017944335938)"," 373, 7, 0.22655734419822693, 2.680375099182129, 145.59017944335938)"," 7, 0.22655734419822693, 2.680375099182129, 145.59017944335938)"," 0.22655734419822693, 2.680375099182129, 145.59017944335938)"," 2.680375099182129, 145.59017944335938)", 145.59017944335938),,61712477, 373, 7, 0.22655734419822693, 2.680375099182129, 145.59017944335938
"(61793781, 374, 6, 0.27844342589378357, 2.710294246673584, 145.49398803710938)","61793781, 374, 6, 0.27844342589378357, 2.710294246673584, 145.49398803710938)"," 374, 6, 0.27844342589378357, 2.710294246673584, 145.49398803710938)"," 6, 0.27844342589378357, 2.710294246673584, 145.49398803710938)"," 0.27844342589378357, 2.710294246673584, 145.49398803710938)"," 2.710294246673584, 145.49398803710938)", 145.49398803710938),,61793781, 374, 6, 0.27844342589378357, 2.710294246673584, 145.49398803710938
"(61875093, 376, 6, 0.32864055037498474, 2.669034004211426, 145.56846618652344)","61875093, 376, 6, 0.32864055037498474, 2.669034004211426, 145.56846618652344)"," 376, 6, 0.32864055037498474, 2.669034004211426, 145.56846618652344)"," 6, 0.32864055037498474, 2.669034004211426, 145.56846618652344)"," 0.32864055037498474, 2.669034004211426, 145.56846618652344)"," 2.669034004211426, 145.56846618652344)", 145.56846618652344),,61875093, 376, 6, 0.32864055037498474, 2.669034004211426, 145.56846618652344
"(61956391, 386, 7, 0.246610626578331, 2.7232723236083984, 145.73602294921875)","61956391, 386, 7, 0.246610626578331, 2.7232723236083984, 145.73602294921875)"," 386, 7, 0.246610626578331, 2.7232723236083984, 145.73602294921875)"," 7, 0.246610626578331, 2.7232723236083984, 145.73602294921875)"," 0.246610626578331, 2.7232723236083984, 145.73602294921875)"," 2.7232723236083984, 145.73602294921875)", 145.73602294921875),,61956391, 386, 7, 0.246610626578331, 2.7232723236083984, 145.73602294921875
"(62037701, 381, 6, 0.20818711817264557, 2.6694560050964355, 145.94578552246094)","62037701, 381, 6, 0.20818711817264557, 2.6694560050964355, 145.94578552246094)"," 381, 6, 0.20818711817264557, 2.6694560050964355, 145.94578552246094)"," 6, 0.20818711817264557, 2.6694560050964355, 145.94578552246094)"," 0.20818711817264557, 2.6694560050964355, 145.94578552246094)"," 2.6694560050964355, 145.94578552246094)", 145.94578552246094),,62037701, 381, 6, 0.20818711817264557, 2.6694560050964355, 145.94578552246094
"(62119003, 374, 7, 0.20002247393131256, 2.5903537273406982, 145.92282104492188)","62119003, 374, 7, 0.20002247393131256, 2.5903537273406982, 145.92282104492188)"," 374, 7, 0.20002247393131256, 2.5903537273406982, 145.92282104492188)"," 7, 0.20002247393131256, 2.5903537273406982, 145.92282104492188)"," 0.20002247393131256, 2.5903537273406982, 145.92282104492188)"," 2.5903537273406982, 145.92282104492188)", 145.92282104492188),,62119003, 374, 7, 0.20002247393131256, 2.5903537273406982, 145.92282104492188
"(62200307, 375, 7, 0.21871019899845123, 2.5674033164978027, 146.0705108642578)","62200307, 375, 7, 0.21871019899845123, 2.5674033164978027, 146.0705108642578)"," 375, 7, 0.21871019899845123, 2.5674033164978027, 146.0705108642578)"," 7, 0.21871019899845123, 2.5674033164978027, 146.0705108642578)"," 0.21871019899845123, 2.5674033164978027, 146.0705108642578)"," 2.5674033164978027, 146.0705108642578)", 146.0705108642578),,62200307, 375, 7, 0.21871019899845123, 2.5674033164978027, 146.0705108642578
"(62281550, 382, 6, 0.23310182988643646, 2.5434696674346924, 146.46022033691406)","62281550, 382, 6, 0.23310182988643646, 2.5434696674346924, 146.46022033691406)"," 382, 6, 0.23310182988643646, 2.5434696674346924, 146.46022033691406)"," 6, 0.23310182988643646, 2.5434696674346924, 146.46022033691406)"," 0.23310182988643646, 2.5434696674346924, 146.46022033691406)"," 2.5434696674346924, 146.46022033691406)", 146.46022033691406),,62281550, 382, 6, 0.23310182988643646, 2.5434696674346924, 146.46022033691406
"(62362909, 372, 5, 0.21516737341880798, 2.5442440509796143, 146.82139587402344)","62362909, 372, 5, 0.21516737341880798, 2.5442440509796143, 146.82139587402344)"," 372, 5, 0.21516737341880798, 2.5442440509796143, 146.82139587402344)"," 5, 0.21516737341880798, 2.5442440509796143, 146.82139587402344)"," 0.21516737341880798, 2.5442440509796143, 146.82139587402344)"," 2.5442440509796143, 146.82139587402344)", 146.82139587402344),,62362909, 372, 5, 0.21516737341880798, 2.5442440509796143, 146.82139587402344
