,,,,,x,y,z,dt
"-1.46, 23.44, 978.52, 02199.00","23.44, 978.52, 02199.00","978.52, 02199.00",,,-1.46,23.44,978.52,2199
"0.49, 24.41, 979.00, 02180.00","24.41, 979.00, 02180.00","979.00, 02180.00",,,0.49,24.41,979,2180
"5.37, 16.60, 994.14, 02186.00","16.60, 994.14, 02186.00","994.14, 02186.00",,,5.37,16.6,994.14,2186
"16.11, 20.51, 1002.93, 02186.00","20.51, 1002.93, 02186.00","1002.93, 02186.00",,,16.11,20.51,1002.93,2186
"242.19, 93.75, 838.38, 02186.00","93.75, 838.38, 02186.00","838.38, 02186.00",,,242.19,93.75,838.38,2186
"-5.86, -10.25, 955.08, 02207.00","-10.25, 955.08, 02207.00","955.08, 02207.00",,,-5.86,-10.25,955.08,2207
"-598.14, 272.46, 763.18, 02201.00","272.46, 763.18, 02201.00","763.18, 02201.00",,,-598.14,272.46,763.18,2201
"5.86, 23.44, 1015.14, 02189.00","23.44, 1015.14, 02189.00","1015.14, 02189.00",,,5.86,23.44,1015.14,2189
"6.84, 17.09, 972.66, 02186.00","17.09, 972.66, 02186.00","972.66, 02186.00",,,6.84,17.09,972.66,2186
"9.77, 33.20, 972.66, 02186.00","33.20, 972.66, 02186.00","972.66, 02186.00",,,9.77,33.2,972.66,2186
"18.07, 29.30, 989.75, 02180.00","29.30, 989.75, 02180.00","989.75, 02180.00",,,18.07,29.3,989.75,2180
"353.52, 8.79, 748.54, 02184.00","8.79, 748.54, 02184.00","748.54, 02184.00",,,353.52,8.79,748.54,2184
"-35.64, 13.67, 924.32, 02199.00","13.67, 924.32, 02199.00","924.32, 02199.00",,,-35.64,13.67,924.32,2199
"143.07, -128.42, 727.05, 02192.00","-128.42, 727.05, 02192.00","727.05, 02192.00",,,143.07,-128.42,727.05,2192
"8.30, 35.16, 1001.46, 02186.00","35.16, 1001.46, 02186.00","1001.46, 02186.00",,,8.3,35.16,1001.46,2186
"12.21, 19.04, 964.84, 02182.00","19.04, 964.84, 02182.00","964.84, 02182.00",,,12.21,19.04,964.84,2182
"0.98, 33.20, 980.47, 02183.00","33.20, 980.47, 02183.00","980.47, 02183.00",,,0.98,33.2,980.47,2183
"-24.90, -2.44, 1145.02, 02205.00","-2.44, 1145.02, 02205.00","1145.02, 02205.00",,,-24.9,-2.44,1145.02,2205
"50.78, 2.44, 960.94, 02184.00","2.44, 960.94, 02184.00","960.94, 02184.00",,,50.78,2.44,960.94,2184
"250.98, -71.29, 782.23, 02196.00","-71.29, 782.23, 02196.00","782.23, 02196.00",,,250.98,-71.29,782.23,2196
"44.92, -2.93, 942.87, 02194.00","-2.93, 942.87, 02194.00","942.87, 02194.00",,,44.92,-2.93,942.87,2194
"-7.81, 14.16, 996.09, 02195.00","14.16, 996.09, 02195.00","996.09, 02195.00",,,-7.81,14.16,996.09,2195
"-9.28, 48.34, 962.89, 02199.00","48.34, 962.89, 02199.00","962.89, 02199.00",,,-9.28,48.34,962.89,2199
"12.70, 24.90, 1000.00, 02175.00","24.90, 1000.00, 02175.00","1000.00, 02175.00",,,12.7,24.9,1000,2175
"846.19, 54.20, 977.54, 02183.00","54.20, 977.54, 02183.00","977.54, 02183.00",,,846.19,54.2,977.54,2183
"-54.20, 5.86, 921.39, 02194.00","5.86, 921.39, 02194.00","921.39, 02194.00",,,-54.2,5.86,921.39,2194
"51.76, -97.66, 768.07, 02193.00","-97.66, 768.07, 02193.00","768.07, 02193.00",,,51.76,-97.66,768.07,2193
"31.74, 16.11, 961.91, 02185.00","16.11, 961.91, 02185.00","961.91, 02185.00",,,31.74,16.11,961.91,2185
"6.84, 18.07, 984.86, 02185.00","18.07, 984.86, 02185.00","984.86, 02185.00",,,6.84,18.07,984.86,2185
"0.00, 25.88, 964.84, 02167.00","25.88, 964.84, 02167.00","964.84, 02167.00",,,0,25.88,964.84,2167
"5.37, 27.34, 995.61, 02188.00","27.34, 995.61, 02188.00","995.61, 02188.00",,,5.37,27.34,995.61,2188
"553.71, -506.84, 1999.94, 02198.00","-506.84, 1999.94, 02198.00","1999.94, 02198.00",,,553.71,-506.84,1999.94,2198
"40.04, -21.00, 1089.84, 02189.00","-21.00, 1089.84, 02189.00","1089.84, 02189.00",,,40.04,-21,1089.84,2189
"-635.25, 160.16, 846.68, 02201.00","160.16, 846.68, 02201.00","846.68, 02201.00",,,-635.25,160.16,846.68,2201
"8.79, 10.74, 969.24, 02189.00","10.74, 969.24, 02189.00","969.24, 02189.00",,,8.79,10.74,969.24,2189
"10.74, 36.13, 970.21, 02185.00","36.13, 970.21, 02185.00","970.21, 02185.00",,,10.74,36.13,970.21,2185
"2.93, 31.74, 1005.37, 02189.00","31.74, 1005.37, 02189.00","1005.37, 02189.00",,,2.93,31.74,1005.37,2189
"15.14, 3.91, 991.21, 02183.00","3.91, 991.21, 02183.00","991.21, 02183.00",,,15.14,3.91,991.21,2183
"1999.94, -641.11, 1999.94, 02199.00","-641.11, 1999.94, 02199.00","1999.94, 02199.00",,,1999.94,-641.11,1999.94,2199
"47.85, -13.18, 1080.08, 02194.00","-13.18, 1080.08, 02194.00","1080.08, 02194.00",,,47.85,-13.18,1080.08,2194
"149.90, 105.96, 1134.28, 02185.00","105.96, 1134.28, 02185.00","1134.28, 02185.00",,,149.9,105.96,1134.28,2185
"168.95, 284.67, 949.71, 02187.00","284.67, 949.71, 02187.00","949.71, 02187.00",,,168.95,284.67,949.71,2187
"-13.67, 22.95, 952.64, 02200.00","22.95, 952.64, 02200.00","952.64, 02200.00",,,-13.67,22.95,952.64,2200
"-1.46, 23.44, 1023.44, 02200.00","23.44, 1023.44, 02200.00","1023.44, 02200.00",,,-1.46,23.44,1023.44,2200
"19.53, 12.70, 973.14, 02182.00","12.70, 973.14, 02182.00","973.14, 02182.00",,,19.53,12.7,973.14,2182
"-242.68, 5.86, 785.64, 02199.00","5.86, 785.64, 02199.00","785.64, 02199.00",,,-242.68,5.86,785.64,2199
"-28.32, 41.02, 975.59, 02197.00","41.02, 975.59, 02197.00","975.59, 02197.00",,,-28.32,41.02,975.59,2197
"73.73, -310.55, 1001.46, 02197.00","-310.55, 1001.46, 02197.00","1001.46, 02197.00",,,73.73,-310.55,1001.46,2197
"-27.34, 58.11, 970.70, 02197.00","58.11, 970.70, 02197.00","970.70, 02197.00",,,-27.34,58.11,970.7,2197
"3.42, 17.58, 956.54, 02188.00","17.58, 956.54, 02188.00","956.54, 02188.00",,,3.42,17.58,956.54,2188
"21.00, 11.23, 997.07, 02176.00","11.23, 997.07, 02176.00","997.07, 02176.00",,,21,11.23,997.07,2176
"124.51, 104.00, 900.88, 02182.00","104.00, 900.88, 02182.00","900.88, 02182.00",,,124.51,104,900.88,2182
"75.20, -62.01, 1010.25, 02191.00","-62.01, 1010.25, 02191.00","1010.25, 02191.00",,,75.2,-62.01,1010.25,2191
"10.25, 299.32, 990.23, 02187.00","299.32, 990.23, 02187.00","990.23, 02187.00",,,10.25,299.32,990.23,2187
"6.35, 9.77, 1003.91, 02188.00","9.77, 1003.91, 02188.00","1003.91, 02188.00",,,6.35,9.77,1003.91,2188
"6.35, 21.97, 962.40, 02186.00","21.97, 962.40, 02186.00","962.40, 02186.00",,,6.35,21.97,962.4,2186
"16.60, 24.41, 972.17, 02182.00","24.41, 972.17, 02182.00","972.17, 02182.00",,,16.6,24.41,972.17,2182
"-595.70, -143.07, 877.44, 02207.00","-143.07, 877.44, 02207.00","877.44, 02207.00",,,-595.7,-143.07,877.44,2207
"-5.86, 40.53, 952.15, 02199.00","40.53, 952.15, 02199.00","952.15, 02199.00",,,-5.86,40.53,952.15,2199
"-347.17, 200.68, 791.99, 02202.00","200.68, 791.99, 02202.00","791.99, 02202.00",,,-347.17,200.68,791.99,2202
"25.39, 0.00, 952.64, 02154.00","0.00, 952.64, 02154.00","952.64, 02154.00",,,25.39,0,952.64,2154
"9.77, 30.76, 1001.95, 02189.00","30.76, 1001.95, 02189.00","1001.95, 02189.00",,,9.77,30.76,1001.95,2189
"13.67, 31.25, 967.77, 02185.00","31.25, 967.77, 02185.00","967.77, 02185.00",,,13.67,31.25,967.77,2185
"-349.61, -93.26, 938.96, 02220.00","-93.26, 938.96, 02220.00","938.96, 02220.00",,,-349.61,-93.26,938.96,2220
"-18.07, 1.95, 958.01, 02192.00","1.95, 958.01, 02192.00","958.01, 02192.00",,,-18.07,1.95,958.01,2192
"144.04, -112.79, 552.25, 02195.00","-112.79, 552.25, 02195.00","552.25, 02195.00",,,144.04,-112.79,552.25,2195
"21.97, 9.77, 952.64, 02185.00","9.77, 952.64, 02185.00","952.64, 02185.00",,,21.97,9.77,952.64,2185
"17.58, 29.79, 995.12, 02186.00","29.79, 995.12, 02186.00","995.12, 02186.00",,,17.58,29.79,995.12,2186
"-3.42, 36.13, 965.82, 02199.00","36.13, 965.82, 02199.00","965.82, 02199.00",,,-3.42,36.13,965.82,2199
"17.58, 19.04, 989.26, 02182.00","19.04, 989.26, 02182.00","989.26, 02182.00",,,17.58,19.04,989.26,2182
"-54.20, 45.90, 640.62, 02194.00","45.90, 640.62, 02194.00","640.62, 02194.00",,,-54.2,45.9,640.62,2194
"130.86, -39.55, 1036.13, 02198.00","-39.55, 1036.13, 02198.00","1036.13, 02198.00",,,130.86,-39.55,1036.13,2198
"-219.73, 244.63, 977.05, 02199.00","244.63, 977.05, 02199.00","977.05, 02199.00",,,-219.73,244.63,977.05,2199
"2.44, 21.00, 1004.88, 02183.00","21.00, 1004.88, 02183.00","1004.88, 02183.00",,,2.44,21,1004.88,2183
"14.16, 21.48, 963.87, 02185.00","21.48, 963.87, 02185.00","963.87, 02185.00",,,14.16,21.48,963.87,2185
"6.35, 32.23, 984.86, 02188.00","32.23, 984.86, 02188.00","984.86, 02188.00",,,6.35,32.23,984.86,2188
"478.52, 151.86, 1159.18, 02188.00","151.86, 1159.18, 02188.00","1159.18, 02188.00",,,478.52,151.86,1159.18,2188
"-33.69, -1.46, 917.48, 02209.00","-1.46, 917.48, 02209.00","917.48, 02209.00",,,-33.69,-1.46,917.48,2209
"125.49, -64.45, 894.04, 02193.00","-64.45, 894.04, 02193.00","894.04, 02193.00",,,125.49,-64.45,894.04,2193
"22.46, 20.51, 975.59, 02185.00","20.51, 975.59, 02185.00","975.59, 02185.00",,,22.46,20.51,975.59,2185
"26.37, 10.25, 999.51, 02184.00","10.25, 999.51, 02184.00","999.51, 02184.00",,,26.37,10.25,999.51,2184
"2.44, 31.25, 969.73, 02188.00","31.25, 969.73, 02188.00","969.73, 02188.00",,,2.44,31.25,969.73,2188
"2.44, 26.86, 988.28, 02188.00","26.86, 988.28, 02188.00","988.28, 02188.00",,,2.44,26.86,988.28,2188
"-87.40, 61.52, 811.52, 02197.00","61.52, 811.52, 02197.00","811.52, 02197.00",,,-87.4,61.52,811.52,2197
"301.76, 66.41, 1099.12, 02187.00","66.41, 1099.12, 02187.00","1099.12, 02187.00",,,301.76,66.41,1099.12,2187
"-87.89, 459.47, 986.33, 02200.00","459.47, 986.33, 02200.00","986.33, 02200.00",,,-87.89,459.47,986.33,2200
"6.35, 22.46, 970.21, 02187.00","22.46, 970.21, 02187.00","970.21, 02187.00",,,6.35,22.46,970.21,2187
"23.93, 22.95, 970.21, 02185.00","22.95, 970.21, 02185.00","970.21, 02185.00",,,23.93,22.95,970.21,2185
"-8.79, 8.79, 994.63, 02197.00","8.79, 994.63, 02197.00","994.63, 02197.00",,,-8.79,8.79,994.63,2197
"854.98, 276.37, 740.72, 02187.00","276.37, 740.72, 02187.00","740.72, 02187.00",,,854.98,276.37,740.72,2187
"-37.60, 15.63, 902.83, 02197.00","15.63, 902.83, 02197.00","902.83, 02197.00",,,-37.6,15.63,902.83,2197
"-184.57, -102.05, 867.68, 02210.00","-102.05, 867.68, 02210.00","867.68, 02210.00",,,-184.57,-102.05,867.68,2210
"8.30, -5.86, 989.26, 02195.00","-5.86, 989.26, 02195.00","989.26, 02195.00",,,8.3,-5.86,989.26,2195
"7.32, 12.21, 993.65, 02188.00","12.21, 993.65, 02188.00","993.65, 02188.00",,,7.32,12.21,993.65,2188
"-3.42, 26.37, 974.61, 02198.00","26.37, 974.61, 02198.00","974.61, 02198.00",,,-3.42,26.37,974.61,2198
"-484.37, 4.39, 1111.82, 02201.00","4.39, 1111.82, 02201.00","1111.82, 02201.00",,,-484.37,4.39,1111.82,2201
"14.65, 0.98, 950.20, 02179.00","0.98, 950.20, 02179.00","950.20, 02179.00",,,14.65,0.98,950.2,2179
"88.38, -76.17, 908.20, 02193.00","-76.17, 908.20, 02193.00","908.20, 02193.00",,,88.38,-76.17,908.2,2193
"-30.76, -98.63, 939.94, 02211.00","-98.63, 939.94, 02211.00","939.94, 02211.00",,,-30.76,-98.63,939.94,2211
"-9.77, 41.02, 998.05, 02192.00","41.02, 998.05, 02192.00","998.05, 02192.00",,,-9.77,41.02,998.05,2192
"12.70, 31.74, 976.07, 02180.00","31.74, 976.07, 02180.00","976.07, 02180.00",,,12.7,31.74,976.07,2180
"1528.32, 359.86, -693.36, 02199.00","359.86, -693.36, 02199.00","-693.36, 02199.00",,,1528.32,359.86,-693.36,2199
"-8.79, -40.04, 1086.91, 02207.00","-40.04, 1086.91, 02207.00","1086.91, 02207.00",,,-8.79,-40.04,1086.91,2207
"238.28, -251.95, 1049.32, 02199.00","-251.95, 1049.32, 02199.00","1049.32, 02199.00",,,238.28,-251.95,1049.32,2199
"250.00, -201.66, 993.16, 02192.00","-201.66, 993.16, 02192.00","993.16, 02192.00",,,250,-201.66,993.16,2192
"7.32, 43.46, 943.36, 02188.00","43.46, 943.36, 02188.00","943.36, 02188.00",,,7.32,43.46,943.36,2188
"0.49, 41.99, 993.65, 02186.00","41.99, 993.65, 02186.00","993.65, 02186.00",,,0.49,41.99,993.65,2186
"4.88, 17.58, 992.68, 02188.00","17.58, 992.68, 02188.00","992.68, 02188.00",,,4.88,17.58,992.68,2188
"492.19, 56.64, 1075.20, 02184.00","56.64, 1075.20, 02184.00","1075.20, 02184.00",,,492.19,56.64,1075.2,2184
"-25.88, -21.48, 909.67, 02210.00","-21.48, 909.67, 02210.00","909.67, 02210.00",,,-25.88,-21.48,909.67,2210
"-563.48, 192.38, 829.59, 02201.00","192.38, 829.59, 02201.00","829.59, 02201.00",,,-563.48,192.38,829.59,2201
"-7.81, -17.09, 978.52, 02206.00","-17.09, 978.52, 02206.00","978.52, 02206.00",,,-7.81,-17.09,978.52,2206
"21.00, 0.00, 986.82, 02149.00","0.00, 986.82, 02149.00","986.82, 02149.00",,,21,0,986.82,2149
"2.44, 19.04, 967.29, 02185.00","19.04, 967.29, 02185.00","967.29, 02185.00",,,2.44,19.04,967.29,2185
"10.25, 27.34, 1001.95, 02186.00","27.34, 1001.95, 02186.00","1001.95, 02186.00",,,10.25,27.34,1001.95,2186
"14.65, 9.77, 966.80, 02182.00","9.77, 966.80, 02182.00","966.80, 02182.00",,,14.65,9.77,966.8,2182
"234.86, 37.60, 1366.21, 02183.00","37.60, 1366.21, 02183.00","1366.21, 02183.00",,,234.86,37.6,1366.21,2183
"2.93, 8.79, 1011.72, 02189.00","8.79, 1011.72, 02189.00","1011.72, 02189.00",,,2.93,8.79,1011.72,2189
"-30.27, 15.63, 944.34, 02199.00","15.63, 944.34, 02199.00","944.34, 02199.00",,,-30.27,15.63,944.34,2199
"5.86, 46.88, 981.93, 02188.00","46.88, 981.93, 02188.00","981.93, 02188.00",,,5.86,46.88,981.93,2188
"16.11, 19.04, 994.14, 02182.00","19.04, 994.14, 02182.00","994.14, 02182.00",,,16.11,19.04,994.14,2182
"192.38, -4.88, 833.98, 02194.00","-4.88, 833.98, 02194.00","833.98, 02194.00",,,192.38,-4.88,833.98,2194
"2.93, 18.07, 979.98, 02186.00","18.07, 979.98, 02186.00","979.98, 02186.00",,,2.93,18.07,979.98,2186
"89.84, -80.08, 901.86, 02194.00","-80.08, 901.86, 02194.00","901.86, 02194.00",,,89.84,-80.08,901.86,2194
"31.74, 7.81, 954.10, 02181.00","7.81, 954.10, 02181.00","954.10, 02181.00",,,31.74,7.81,954.1,2181
"0.98, 17.58, 992.68, 02186.00","17.58, 992.68, 02186.00","992.68, 02186.00",,,0.98,17.58,992.68,2186
"-8.79, 41.99, 961.91, 02198.00","41.99, 961.91, 02198.00","961.91, 02198.00",,,-8.79,41.99,961.91,2198
"14.16, 23.44, 988.28, 02185.00","23.44, 988.28, 02185.00","988.28, 02185.00",,,14.16,23.44,988.28,2185
"124.02, 64.45, 1011.72, 02185.00","64.45, 1011.72, 02185.00","1011.72, 02185.00",,,124.02,64.45,1011.72,2185
"-29.79, 41.50, 1010.25, 02198.00","41.50, 1010.25, 02198.00","1010.25, 02198.00",,,-29.79,41.5,1010.25,2198
"48.83, -24.90, 867.68, 02193.00","-24.90, 867.68, 02193.00","867.68, 02193.00",,,48.83,-24.9,867.68,2193
"20.51, 46.39, 906.25, 02185.00","46.39, 906.25, 02185.00","906.25, 02185.00",,,20.51,46.39,906.25,2185
"4.39, 26.37, 962.40, 02185.00","26.37, 962.40, 02185.00","962.40, 02185.00",,,4.39,26.37,962.4,2185
"-0.98, 47.36, 997.56, 02194.00","47.36, 997.56, 02194.00","997.56, 02194.00",,,-0.98,47.36,997.56,2194
"12.21, 19.53, 977.54, 02186.00","19.53, 977.54, 02186.00","977.54, 02186.00",,,12.21,19.53,977.54,2186
"848.63, 56.64, 920.90, 02184.00","56.64, 920.90, 02184.00","920.90, 02184.00",,,848.63,56.64,920.9,2184
"-35.64, -7.32, 904.30, 02206.00","-7.32, 904.30, 02206.00","904.30, 02206.00",,,-35.64,-7.32,904.3,2206
"65.92, -52.73, 822.27, 02196.00","-52.73, 822.27, 02196.00","822.27, 02196.00",,,65.92,-52.73,822.27,2196
"30.76, 16.60, 988.28, 02182.00","16.60, 988.28, 02182.00","988.28, 02182.00",,,30.76,16.6,988.28,2182
"4.88, 13.18, 984.86, 02188.00","13.18, 984.86, 02188.00","984.86, 02188.00",,,4.88,13.18,984.86,2188
"10.25, 36.62, 972.66, 02186.00","36.62, 972.66, 02186.00","972.66, 02186.00",,,10.25,36.62,972.66,2186
"-0.49, 10.74, 991.70, 02192.00","10.74, 991.70, 02192.00","991.70, 02192.00",,,-0.49,10.74,991.7,2192
"-150.88, 56.64, 634.28, 02201.00","56.64, 634.28, 02201.00","634.28, 02201.00",,,-150.88,56.64,634.28,2201
"-41.99, 22.46, 985.84, 02199.00","22.46, 985.84, 02199.00","985.84, 02199.00",,,-41.99,22.46,985.84,2199
"-486.33, 7.81, 948.73, 02199.00","7.81, 948.73, 02199.00","948.73, 02199.00",,,-486.33,7.81,948.73,2199
"14.16, 19.53, 1007.32, 02186.00","19.53, 1007.32, 02186.00","1007.32, 02186.00",,,14.16,19.53,1007.32,2186
"5.86, 11.23, 965.82, 02188.00","11.23, 965.82, 02188.00","965.82, 02188.00",,,5.86,11.23,965.82,2188
"16.11, 26.37, 995.12, 02184.00","26.37, 995.12, 02184.00","995.12, 02184.00",,,16.11,26.37,995.12,2184
"392.09, 10.25, 1128.91, 02184.00","10.25, 1128.91, 02184.00","1128.91, 02184.00",,,392.09,10.25,1128.91,2184
"-7.81, 25.39, 942.38, 02198.00","25.39, 942.38, 02198.00","942.38, 02198.00",,,-7.81,25.39,942.38,2198
"25.88, -80.08, 835.94, 02193.00","-80.08, 835.94, 02193.00","835.94, 02193.00",,,25.88,-80.08,835.94,2193
"21.97, 15.14, 926.27, 02185.00","15.14, 926.27, 02185.00","926.27, 02185.00",,,21.97,15.14,926.27,2185
"-21.00, 23.93, 974.61, 02194.00","23.93, 974.61, 02194.00","974.61, 02194.00",,,-21,23.93,974.61,2194
"19.53, 21.48, 970.21, 02185.00","21.48, 970.21, 02185.00","970.21, 02185.00",,,19.53,21.48,970.21,2185
"-685.55, -507.81, 1999.94, 02222.00","-507.81, 1999.94, 02222.00","1999.94, 02222.00",,,-685.55,-507.81,1999.94,2222
"51.76, -83.50, 1052.73, 02194.00","-83.50, 1052.73, 02194.00","1052.73, 02194.00",,,51.76,-83.5,1052.73,2194
"-97.66, -235.84, 950.68, 02221.00","-235.84, 950.68, 02221.00","950.68, 02221.00",,,-97.66,-235.84,950.68,2221
"-50.29, -30.27, 958.98, 02210.00","-30.27, 958.98, 02210.00","958.98, 02210.00",,,-50.29,-30.27,958.98,2210
"4.39, 35.16, 994.14, 02188.00","35.16, 994.14, 02188.00","994.14, 02188.00",,,4.39,35.16,994.14,2188
"9.28, 39.55, 983.89, 02188.00","39.55, 983.89, 02188.00","983.89, 02188.00",,,9.28,39.55,983.89,2188
"21.97, 15.14, 979.98, 02185.00","15.14, 979.98, 02185.00","979.98, 02185.00",,,21.97,15.14,979.98,2185
"239.75, 40.53, 892.58, 02186.00","40.53, 892.58, 02186.00","892.58, 02186.00",,,239.75,40.53,892.58,2186
"-41.50, 23.93, 965.82, 02197.00","23.93, 965.82, 02197.00","965.82, 02197.00",,,-41.5,23.93,965.82,2197
"-368.65, 227.54, 927.25, 02202.00","227.54, 927.25, 02202.00","927.25, 02202.00",,,-368.65,227.54,927.25,2202
"13.67, 20.51, 1017.09, 02184.00","20.51, 1017.09, 02184.00","1017.09, 02184.00",,,13.67,20.51,1017.09,2184
"-6.35, 8.30, 962.40, 02193.00","8.30, 962.40, 02193.00","962.40, 02193.00",,,-6.35,8.3,962.4,2193
"21.48, 10.25, 977.54, 02186.00","10.25, 977.54, 02186.00","977.54, 02186.00",,,21.48,10.25,977.54,2186
"259.28, 109.86, 1051.27, 02189.00","109.86, 1051.27, 02189.00","1051.27, 02189.00",,,259.28,109.86,1051.27,2189
"22.46, 50.29, 1046.88, 02187.00","50.29, 1046.88, 02187.00","1046.88, 02187.00",,,22.46,50.29,1046.88,2187
"-21.48, 422.85, 925.78, 02200.00","422.85, 925.78, 02200.00","925.78, 02200.00",,,-21.48,422.85,925.78,2200
"-1.46, 23.93, 988.77, 02199.00","23.93, 988.77, 02199.00","988.77, 02199.00",,,-1.46,23.93,988.77,2199
"15.14, 4.88, 989.26, 02184.00","4.88, 989.26, 02184.00","989.26, 02184.00",,,15.14,4.88,989.26,2184
"0.00, 12.70, 977.54, 02165.00","12.70, 977.54, 02165.00","977.54, 02165.00",,,0,12.7,977.54,2165
"22.46, 19.04, 1003.91, 02184.00","19.04, 1003.91, 02184.00","1003.91, 02184.00",,,22.46,19.04,1003.91,2184
"-206.05, 135.74, 768.07, 02196.00","135.74, 768.07, 02196.00","768.07, 02196.00",,,-206.05,135.74,768.07,2196
"231.93, 156.25, 1194.34, 02188.00","156.25, 1194.34, 02188.00","1194.34, 02188.00",,,231.93,156.25,1194.34,2188
"-184.08, 455.57, 1091.31, 02199.00","455.57, 1091.31, 02199.00","1091.31, 02199.00",,,-184.08,455.57,1091.31,2199
"-12.21, 14.16, 970.70, 02196.00","14.16, 970.70, 02196.00","970.70, 02196.00",,,-12.21,14.16,970.7,2196
"9.77, 15.63, 976.07, 02185.00","15.63, 976.07, 02185.00","976.07, 02185.00",,,9.77,15.63,976.07,2185
"18.07, 5.37, 988.77, 02181.00","5.37, 988.77, 02181.00","988.77, 02181.00",,,18.07,5.37,988.77,2181
"803.22, -385.25, -2000.00, 02204.00","-385.25, -2000.00, 02204.00","-2000.00, 02204.00",,,803.22,-385.25,-2000,2204
"101.07, -77.15, 1142.58, 02195.00","-77.15, 1142.58, 02195.00","1142.58, 02195.00",,,101.07,-77.15,1142.58,2195
"69.34, -68.36, 952.64, 02196.00","-68.36, 952.64, 02196.00","952.64, 02196.00",,,69.34,-68.36,952.64,2196
"-5.37, 17.58, 950.68, 02199.00","17.58, 950.68, 02199.00","950.68, 02199.00",,,-5.37,17.58,950.68,2199
"16.60, 14.16, 967.77, 02182.00","14.16, 967.77, 02182.00","967.77, 02182.00",,,16.6,14.16,967.77,2182
"3.42, 56.15, 998.05, 02185.00","56.15, 998.05, 02185.00","998.05, 02185.00",,,3.42,56.15,998.05,2185
"-10.25, 25.88, 984.37, 02199.00","25.88, 984.37, 02199.00","984.37, 02199.00",,,-10.25,25.88,984.37,2199
"590.82, 18.55, 831.05, 02183.00","18.55, 831.05, 02183.00","831.05, 02183.00",,,590.82,18.55,831.05,2183
"2.93, -23.44, 972.17, 02198.00","-23.44, 972.17, 02198.00","972.17, 02198.00",,,2.93,-23.44,972.17,2198
"-303.71, -91.31, 1049.80, 02209.00","-91.31, 1049.80, 02209.00","1049.80, 02209.00",,,-303.71,-91.31,1049.8,2209
"19.04, 9.28, 987.79, 02182.00","9.28, 987.79, 02182.00","987.79, 02182.00",,,19.04,9.28,987.79,2182
"5.86, 23.93, 988.77, 02189.00","23.93, 988.77, 02189.00","988.77, 02189.00",,,5.86,23.93,988.77,2189
"-8.30, 24.90, 974.12, 02193.00","24.90, 974.12, 02193.00","974.12, 02193.00",,,-8.3,24.9,974.12,2193
"-595.70, -214.36, 1163.57, 02210.00","-214.36, 1163.57, 02210.00","1163.57, 02210.00",,,-595.7,-214.36,1163.57,2210
"1.95, -37.11, 925.29, 02198.00","-37.11, 925.29, 02198.00","925.29, 02198.00",,,1.95,-37.11,925.29,2198
"-193.36, -82.52, 1102.54, 02222.00","-82.52, 1102.54, 02222.00","1102.54, 02222.00",,,-193.36,-82.52,1102.54,2222
"241.70, 524.41, 951.17, 02184.00","524.41, 951.17, 02184.00","951.17, 02184.00",,,241.7,524.41,951.17,2184
"-0.49, 9.77, 986.33, 02195.00","9.77, 986.33, 02195.00","986.33, 02195.00",,,-0.49,9.77,986.33,2195
"5.86, 17.09, 969.24, 02186.00","17.09, 969.24, 02186.00","969.24, 02186.00",,,5.86,17.09,969.24,2186
"1367.68, 208.50, 53.71, 02184.00","208.50, 53.71, 02184.00","53.71, 02184.00",,,1367.68,208.5,53.71,2184
"36.13, -47.36, 1067.87, 02196.00","-47.36, 1067.87, 02196.00","1067.87, 02196.00",,,36.13,-47.36,1067.87,2196
"-4.39, -329.10, 802.25, 02207.00","-329.10, 802.25, 02207.00","802.25, 02207.00",,,-4.39,-329.1,802.25,2207
"-33.69, 42.48, 970.21, 02199.00","42.48, 970.21, 02199.00","970.21, 02199.00",,,-33.69,42.48,970.21,2199
"26.86, 29.30, 962.89, 02182.00","29.30, 962.89, 02182.00","962.89, 02182.00",,,26.86,29.3,962.89,2182
"3.91, 41.50, 1005.37, 02187.00","41.50, 1005.37, 02187.00","1005.37, 02187.00",,,3.91,41.5,1005.37,2187
"-1420.90, 1783.20, -2000.00, 02205.00","1783.20, -2000.00, 02205.00","-2000.00, 02205.00",,,-1420.9,1783.2,-2000,2205
"127.93, -20.02, 1041.50, 02192.00","-20.02, 1041.50, 02192.00","1041.50, 02192.00",,,127.93,-20.02,1041.5,2192
"33.69, -108.89, 1166.99, 02198.00","-108.89, 1166.99, 02198.00","1166.99, 02198.00",,,33.69,-108.89,1166.99,2198
"-26.86, -4.88, 1021.48, 02210.00","-4.88, 1021.48, 02210.00","1021.48, 02210.00",,,-26.86,-4.88,1021.48,2210
"-2.93, 19.53, 965.82, 02199.00","19.53, 965.82, 02199.00","965.82, 02199.00",,,-2.93,19.53,965.82,2199
"8.30, 32.23, 972.66, 02185.00","32.23, 972.66, 02185.00","972.66, 02185.00",,,8.3,32.23,972.66,2185
"-1117.19, 559.08, -2000.00, 02206.00","559.08, -2000.00, 02206.00","-2000.00, 02206.00",,,-1117.19,559.08,-2000,2206
"155.27, -105.96, 1109.38, 02198.00","-105.96, 1109.38, 02198.00","1109.38, 02198.00",,,155.27,-105.96,1109.38,2198
"396.00, -203.61, 692.87, 02192.00","-203.61, 692.87, 02192.00","692.87, 02192.00",,,396,-203.61,692.87,2192
